name,city,location,date,high_price,low_price,actor,state
【海派情调】月圆花好-老上海经典金曲演唱会,上海,2020.12.04 周五 19:30,,售票中,浦东大戏院,68,360
“相约在冬季”2021海口群星演唱会,海口,2021.01.02 周六 20:00,,售票中,海南国际会展中心5号馆,280,880
猫头鹰喜剧周末脱口秀,上海,2020.11.27-12.26,,售票中,THE BOXX新偶像演艺空间,150,150
赵鹏行吟2020“橡皮”演唱会,合肥,2020.12.18 周五 19:30,,售票中,合肥市瑶海大剧院,80,280
烟把儿乐队2020【白日奏梦】省内巡演 济南站,济南,2020.12.04 周五 20:30,,售票中,班卓音乐酒吧,100,100
西南之南2020声音碎片巡演   昆明站,昆明,2020.11.27 周五 20:30,,售票中,MODERNSKY LAB(昆明店),180,180
【全场畅饮】「孤独症候群」报警Alarm / 梅西合唱团 / LATTE&万事屋乐队,杭州,2020.12.18 周五 20:30,,售票中,MAO Livehouse杭州,130,240
THEBOXX酷乐秀,上海,2020.11.21 周六 20:00,,售票中,THE BOXX新偶像演艺空间,88,88
衡德地产|2020 “以梦为马”蔡俊杰个人演唱会,无锡,2020.12.19 周六 19:30,,售票中,无锡演艺剧院,98,128
闫泽欢“大好时光” 北京演唱会,北京,2020.12.04 周五 20:00,,售票中,疆进酒·OMNI SPACE,200,260
MiniG迷你机「赛博朋克进取巡演CYBERTOUR」上海站,上海,2020.12.18 周五 20:30,MiniG迷你机,售票中,上海 LOFAS,100,180
布朗尼秋日舞会 济南站,济南,2020.11.29 周日 20:30,,售票中,班卓音乐酒吧,100,100
[ 乐海方舟 ] 独家呈现：“寻找彩虹宝贝”2020巡演 北京站,北京,2020.11.27 周五 20:30,彩虹男孩,售票中,MAO Livehouse北京,180,180
The Roots乐队演出 | 用音乐温暖你的冬夜,武汉,2020.11.28 周六 20:30,,售票中,UNlimit coffee&bar,40,60
Monster KaR笠云岛2020巡演 杭州站,杭州,2020.11.22 周日 19:30,,售票中,酒球会(9-Club),120,150
2020真的爱你-致敬BEYOND•黄家驹演唱会,西安,2020.11.28 周六 19:30,,售票中,西安创矩音乐现场,180,480
【秀动呈献】“怒马行歌，欢喜开场”羽果2020巡演 郑州站,郑州,2020.12.11 周五 20:30,,售票中,7LIVEHOUSE,100,160
FORGOTTEN CLUB 遗忘俱乐部 'WHERE SHALL WE GO' 2020巡演 哈尔滨站,哈尔滨,2021.01.02 周六 19:00,,售票中,SUBLIVE,180,180
2020跨年超级枕头大战-全程高能一战入魂,成都,2020.12.31 周四,,售票中,新星(中国)音乐梦工厂,158,258
Heaven On Fire天堂火金属音乐节上海站 激流金属专场,上海,2020.11.27 周五 20:00,,售票中,MAO Livehouse上海,150,400
11月27日【酒水畅饮】YEAH MAO夜猫俱乐部,成都,2020.11.27-11.28,,售票中,MAO Livehouse成都,99,288
宿羽阳四城梦游派对—广州站,广州,2020.12.25 周五 20:00,宿羽阳,售票中,SD Livehouse,150,430
帆布小镇“意外晴空中的浪漫出走”2020巡演Ⅱ 武汉站,武汉,2020.12.09 周三 20:30,,售票中,L7 Livehouse(珞狮路南国大家装A2栋三层),70,80
2020真的爱你-致敬BEYOND·黄家驹演唱会 昆明,昆明,2020.12.25 周五 19:30,,售票中,MODERNSKY LAB(昆明店),180,480
「脏手指五周年庆祝计划」大连站,大连,2020.11.27 周五 20:30,,售票中,赫兹音乐空间(黑石礁店),120,150
惘闻《十万个为什么》新专辑巡演 济南站,济南,2020.12.28 周一 20:30,惘闻乐队,售票中,济南 Caper Land雀跃之地音乐现场,150,150
否极泰来——周云蓬与乐队巡演西安站,西安,2020.12.12 周六 20:00,,售票中,星球工厂LIVEHOUSE,150,180
宁夏、孟慧圆『私心』小巡演 杭州站,杭州,2020.11.25 周三 20:30,,售票中,MAO Livehouse杭州,120,200
刘思涵2020《爱，未满》新专辑巡演-重庆站,重庆,2021.01.17 周日 20:00,,售票中,寅派动力,220,260
海象爵士巡演南昌U2站,南昌,2020.11.22 周日 20:30,,售票中,U2 livehouse,80,100
果味VC 「 拥抱之城」2020巡演-北京站,北京,2020.11.22 周日 20:30,果味VC,售票中,糖果TANGO-雍和宫店三层,120,120
2020真的爱你-致敬BEYOND·黄家驹演唱会,广州,2020.12.19 周六 19:30,,售票中,MAO Livehouse广州,180,580
2020圣诞超级枕头大战-全程高能一战入魂,武汉,2020.12.25 周五,,售票中,异次元·派对中心,128,228
2020真的爱你-致敬BEYOND·黄家驹演唱会 最帅最接近原音的家驹传承者！,重庆,2020.11.27 周五 19:30,,售票中,寅派动力,180,480
Uncle Hu 2020「国民瞬间」全国巡演杭州站,杭州,2020.11.22 周日 20:30,,售票中,Loopy,80,100
Click#15疯客与舞蹈2020全国巡演（重庆站）,重庆,2021.01.26 周二 19:30,,售票中,重庆大剧院,100,480
外滩大会音乐节（线上）,北京,2020.09.24-12.23,,售票中,请到大麦APP和优酷APP观看,0,0
【珍珠剧场】最流行 * 千禧盛世经典音浪合集之夜,上海,2020.12.03-12.05,,售票中,珍珠剧场The Pearl,120,120
【摇滚兄弟 x MAO】冬日暖洋洋2 全场酒水无限畅饮摇滚之夜,北京,2020.12.06 周日 20:00,,售票中,MAO Livehouse北京,100,300
黑屋乐队 你大可不必假装快乐 2020巡演 成都站,成都,2020.11.22 周日 20:00,黑屋乐队,售票中,成都迷笛音乐中心,68,88
【雾川呈献】「冬日當歌 春風曲」晓月老板大连专场,大连,2020.12.19 周六 20:30,,售票中,赫兹音乐空间(黑石礁店),120,150
热斑2020《NOT BAD》新专辑巡演-深圳站,深圳,2020.11.27 周五 20:30,,售票中,深圳B10现场,80,80
2020“直到世界尽头”经典动漫演唱会-回到热血青春年少时！-上海站,上海,2020.12.24 周四 19:30,,售票中,万代南梦宫上海文化中心未来剧场,180,580
《正当年少》2020陈硕子烟台演唱会,烟台,2020.11.28 周六 19:30,,售票中,胶东文化广场(胶东剧院),120,280
葡萄合唱团PRO（葡萄不愤怒Ｘ新学校废物）联合巡演,成都,2021.01.08 周五 20:30,,售票中,成都CH8冇独空间·完美店,150,150
白举纲“白日梦境”2020全国巡演-杭州站,杭州,2020.11.22 周日 20:00,白举纲,售票中,大麦66LiveHouse杭州,380,680
【摇滚兄弟呈现】雷蒙斯乐队致敬演出,北京,2020.11.25 周三 20:00,,售票中,疆进酒·OMNI SPACE,80,140
