name,title,score,comment,price,author,data,store,translate
恶意,将手记体叙事的无限可能发挥得淋漓尽致,8.4,201964人评价,18.00,娄美莲 ,2009-6 ,南海出版公司 ,[日] 东野圭吾 
设计中的设计,日常生活的无限可能性,8.6,30152人评价,48.00,朱锷 ,2006-11 ,山东人民出版社 ,[日] 原研哉 
众病之王,癌症传,9.1,8696人评价,42.00,李虎 ,2013-2-4 ,中信出版社 ,[美] 悉达多·穆克吉 
毛姆短篇小说精选集,在各种光怪陆离的场景中，迷失的人性引发了一连串的悲剧,9.0,8972人评价,36.00,冯亦代 ,2012-11 ,译林出版社 ,(英)威廉·萨默塞特·毛姆 
夏洛的网,一个蜘蛛和小猪的故事，写给孩子，也写给大人,8.6,53998人评价,17.00,任溶溶 ,2004-5 ,上海译文出版社 ,[美] E.B.怀特 
荒原狼,“超现实主义”风格作品，德国的《尤利西斯》,9.0,11398人评价,13.00,赵登荣 ,2008-7 ,上海译文出版社 ,[德]赫尔曼·黑塞 
ZOO,噩梦中的一丝温度,8.6,35853人评价,20.00,李颖秋 ,2007-10 ,当代世界出版社 ,[日] 乙一 
世界尽头与冷酷仙境,交叉平行蒙太奇,8.6,37907人评价,23.00,林少华 ,2002-12 ,上海译文出版社 ,[日] 村上春树 
当呼吸化为空气,你在死亡中探究生命的意义，你见证生前的呼吸化作死后的空气,8.8,17165人评价,48.00,何雨珈 ,2016-12 ,猫头鹰文化·浙江文艺出版社 ,[美] 保罗·卡拉尼什 
步履不停,人生路上，步履不停，总有那么一点来不及,8.7,27033人评价,36.80,郑有杰 ,2017-5 ,北京联合出版公司 ,[日] 是枝裕和 
二手时间,用最为细小的马赛克拼出了一幅完整的后苏联时代图景,8.8,14865人评价,55.00,吕宁思 ,2016-1 ,中信出版集团 ,[白俄] S. A. 阿列克谢耶维奇 
佐贺的超级阿嬷,乐观的外婆却总有神奇的办法,8.7,19291人评价,20.00,陈宝莲 ,2007-3 ,南海出版公司 ,[日] 岛田洋七 
狂热分子,探讨群众运动的共有特征,8.9,10773人评价,34.00,梁永安 ,2011-6 ,广西师范大学出版社 ,[美] 埃里克·霍弗 
香水,每一次谋杀只因迷恋她们身上的味道,8.5,36916人评价,20.00,李清华 ,2005-5 ,上海译文出版社 ,[德] 帕·聚斯金德 
人类的群星闪耀时,十四个影响人类文明的瞬间,8.7,22162人评价,18.00,舒昌善 ,2004-8 ,广西师范大学出版社 ,[奥] 斯蒂芬·茨威格 
挪威的森林,像喜欢春天的熊一样,8.5,106739人评价,23.00,林少华 ,2007-7 ,上海译文出版社 ,[日] 村上春树 
世界的凛冬,我亲眼目睹，每一个迈向死亡的生命都在热烈地生长,8.8,20584人评价,132.00（全三册）,陈杰 ,2017-3-1 ,江苏凤凰文艺出版社 ,[英] 肯·福莱特 
金阁寺,他的犯罪动机是对美的嫉妒,8.7,21300人评价,24.00,唐月梅 ,2009-1 ,上海译文出版社 ,[日] 三岛由纪夫 
影响力,营销防骗指南,8.6,40915人评价,45.00,陈叙 ,2006-5 ,中国人民大学出版社 ,[美] 罗伯特·西奥迪尼 
社会契约论,一个国家只能有一个契约,8.8,14288人评价,18.00,何兆武 ,2003-2-1 ,商务印书馆 ,卢梭 
哈姆莱特,生存还是毁灭，这是一个值得思考的问题,8.6,37210人评价,7.00,朱生豪 ,2001-1 ,人民文学出版社 ,[英] 莎士比亚 
美丽新世界,最经典的反乌托邦文学之一,8.7,22495人评价,20.00,王波 ,2005-6 ,重庆出版社 ,[英] 阿道司·赫胥黎 
老人与海,正是悲壮赋予生活以意义,8.4,160151人评价,8.20,吴劳 ,1999-10 ,上海译文出版社 ,海明威 
告白,,8.5,11699人评价,26.00,丁世佳 ,2010年6月 ,哈尔滨出版社 ,[日]凑佳苗 
通往奴役之路,古典自由主义杰作,8.8,12942人评价,16.00,王明毅 ,1997-08-01 ,中国社会科学出版社 ,弗里德利希・冯・哈耶克 
安娜·卡列尼娜,,9.2,11748人评价,37.00,草婴 ,2007-8 ,上海文艺出版社 ,[俄] 列夫·托尔斯泰 
规训与惩罚,伴随着惩罚的人性化，自由反而日益丧失了,9.2,6669人评价,21.80,刘北成 ,2003-1 ,生活·读书·新知三联书店 ,[法] 米歇尔·福柯 
了不起的盖茨比,,8.7,28617人评价,25.00,邓若虚 ,2012-5 ,南海出版公司 ,[美] 斯科特·菲茨杰拉德 
别闹了，费曼先生,科学顽童的故事,8.9,8886人评价,22.00,吴程远 ,1997-12 ,生活·读书·新知三联书店 ,[美] 理查德·费曼 
长袜子皮皮,,9.0,8981人评价,17.80,李之义 ,1999-3 ,中国少年儿童出版社 ,[瑞典] 阿斯特丽德·林格伦 
海底两万里,你听说过鹦鹉螺号吗？,8.5,83716人评价,19.50,沈国华 ,2002-9 ,译林出版社 ,[法国] 儒尔·凡尔纳 
西方哲学史（上卷）,西方哲学史及其与从古代到现代的政治、社会情况的联系,8.9,11860人评价,25.00,何兆武 ,1963-9 ,商务印书馆 ,[英] 罗素 
2001太空漫游,科幻三巨头之一阿瑟·克拉克代表作,9.1,7074人评价,28.00,郝明义 ,2007-11 ,上海人民出版社 ,[英] 阿瑟·克拉克 
过于喧嚣的孤独,我为它而活着，并为写它推迟了我的死亡,8.8,11345人评价,22.00,杨乐云 ,2011-10 ,北京十月文艺出版社 ,(捷克) 赫拉巴尔 
社会性动物,美国社会心理学的《圣经》,9.1,9066人评价,45.00,邢占军 ,2007-12 ,华东师范大学出版社 ,Elliot Aronson 
批评官员的尺度,新闻自由史上的里程碑案件：《纽约时报》诉沙利文案,8.9,8773人评价,32.00,何帆 ,2011-7 ,北京大学出版社 ,[美] 安东尼·刘易斯 
如父如子,,8.9,17341人评价,49.80,丹勇 ,2018-4 ,湖南文艺出版社 ,[日] 是枝裕和 
不存在的骑士,,8.9,10456人评价,22.00,吴正仪 ,2012-4 ,译林出版社 ,[意] 伊塔洛·卡尔维诺 
心理学与生活,是教科书，也是通俗易懂的好读物,8.8,16852人评价,88.00,王垒 ,2003-10 ,人民邮电出版社 ,[美] 理查德·格里格 
